priority_rank,recovery_priority_score,recovery_class,recommended_recovery_track,canonical_game_key,game_name,developer,game_url,in_mini_catalog,missing_rank_rows,rank1_missing_rows,top5_missing_rows,top10_missing_rows,top20_missing_rows,best_missing_rank,first_missing_rank_date,last_missing_rank_date,missing_rank_span_days,ranking_types_with_missing,categories_with_missing,sample_missing_dates,has_any_observed_play_count,first_observed_play_count_date,first_observed_play_count,first_observed_play_count_source,first_observed_after_first_missing_days,first_observed_after_last_missing_days,latest_observed_play_count_date,latest_observed_play_count,missing_rows_on_or_after_first_observation,catalog_first_seen_date,catalog_last_seen_date,catalog_best_rank,catalog_top_n_appearances,catalog_listing_play_count_rows,catalog_max_listing_play_count_observed,metrics_status,metrics_rows,first_metric_date,last_metric_date,no_history_evidence_bucket,page_gap_status,count_source_probe_status,alternate_endpoint_cdx_rows,endpoint_observations,candidates_with_cdx_rows,recovered_count_rows,current_live_metric_status,observed_categories,platform_flags,classification_confidence
1152,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/igrodroms/dark-floors-of-zombies,Dark Floors of Zombies,igrodroms,http://www.kongregate.com/games/igrodroms/dark-floors-of-zombies,yes,1,0,0,1,1,9,2017-05-26,2017-05-26,0,newest (1),,2017-05-26,yes,2026-06-29,194,live_metrics_json,3321,3321,2026-06-29,194,0,2017-05-26,2017-05-26,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1153,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/knfescapegame/knf-classic-lodge-escape,Knf Classic Lodge Escape,knfescapegame,http://www.kongregate.com/games/knfescapegame/knf-classic-lodge-escape,yes,1,0,0,1,1,9,2017-06-04,2017-06-04,0,newest (1),,2017-06-04,yes,2026-06-29,195,live_metrics_json,3312,3312,2026-06-29,195,0,2017-06-04,2017-06-04,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1154,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/redarx/dot-dash,Dot Dash,redarx,http://www.kongregate.com/games/redarx/dot-dash,yes,1,0,0,1,1,9,2017-06-15,2017-06-15,0,newest (1),,2017-06-15,yes,2026-06-29,109,live_metrics_json,3301,3301,2026-06-29,109,0,2017-06-15,2017-06-15,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1155,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/enagamess/temple-of-morr-2,Temple Of Morr 2,Enagamess,http://www.kongregate.com/games/Enagamess/temple-of-morr-2,yes,1,0,0,1,1,9,2017-06-16,2017-06-16,0,newest (1),,2017-06-16,yes,2026-06-29,229,live_metrics_json,3300,3300,2026-06-29,229,0,2017-06-16,2017-06-16,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1156,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/libertyraincloud/afk-dont-talk-to-me,AFK Don't Talk To Me,Libertyraincloud,http://www.kongregate.com/games/Libertyraincloud/afk-dont-talk-to-me,yes,1,0,0,1,1,9,2017-06-25,2017-06-25,0,newest (1),,2017-06-25,yes,2026-06-29,261,live_metrics_json,3291,3291,2026-06-29,261,0,2017-06-25,2017-06-25,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1157,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/klatu/a-strange-market,A Strange Market,Klatu,http://www.kongregate.com/games/Klatu/a-strange-market,yes,1,0,0,1,1,9,2017-07-03,2017-07-03,0,newest (1),,2017-07-03,yes,2026-06-29,723,live_metrics_json,3283,3283,2026-06-29,723,0,2017-07-03,2017-07-03,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1158,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/harshtheawesome/graviball-v0-4,Graviball V0.4,HarshTheAwesome,http://www.kongregate.com/games/HarshTheAwesome/graviball-v0-4,yes,1,0,0,1,1,9,2017-07-20,2017-07-20,0,newest (1),,2017-07-20,yes,2026-06-29,414,live_metrics_json,3266,3266,2026-06-29,414,0,2017-07-20,2017-07-20,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1159,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/squiddymccloud/cardboard-catbox-painful-pitfalls,Cardboard Catbox Painful Pitfalls,squiddymccloud,http://www.kongregate.com/games/squiddymccloud/cardboard-catbox-painful-pitfalls,yes,1,0,0,1,1,9,2017-07-28,2017-07-28,0,newest (1),,2017-07-28,yes,2026-06-29,274,live_metrics_json,3258,3258,2026-06-29,274,0,2017-07-28,2017-07-28,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1160,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/mcgeezax101/asteroids,Asteroids,mcgeezax101,http://www.kongregate.com/games/mcgeezax101/asteroids,yes,1,0,0,1,1,9,2017-08-05,2017-08-05,0,newest (1),,2017-08-05,yes,2026-06-29,250,live_metrics_json,3250,3250,2026-06-29,250,0,2017-08-05,2017-08-05,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1161,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/8pixstudio/monsterkill,Monsterkill,8PixStudio,http://www.kongregate.com/games/8PixStudio/monsterkill,yes,1,0,0,1,1,9,2017-08-11,2017-08-11,0,newest (1),,2017-08-11,yes,2026-06-29,403,live_metrics_json,3244,3244,2026-06-29,403,0,2017-08-11,2017-08-11,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1162,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/nsrgames/dream-adventure-escape,Dream Adventure Escape,Nsrgames,http://www.kongregate.com/games/Nsrgames/dream-adventure-escape,yes,1,0,0,1,1,9,2017-08-23,2017-08-23,0,newest (1),,2017-08-23,yes,2026-06-29,421,live_metrics_json,3232,3232,2026-06-29,421,0,2017-08-23,2017-08-23,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1163,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/dragonlance5/when-the-lights-go-down,When the Lights Go Down,dragonlance5,http://www.kongregate.com/games/dragonlance5/when-the-lights-go-down,yes,1,0,0,1,1,9,2017-08-25,2017-08-25,0,newest (1),,2017-08-25,yes,2023-09-01,147,count_source_probe,2198,2198,2026-06-29,372,0,2017-08-25,2017-08-25,9,1,0,,has_metrics,2,2023-09-01,2026-06-29,,,,,,,,,,,
1164,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/ludosproject/twolands-clickers,TwoLands Clickers,LudosProject,http://www.kongregate.com/games/LudosProject/twolands-clickers,yes,1,0,0,1,1,9,2017-09-04,2017-09-04,0,newest (1),,2017-09-04,yes,2026-06-29,5686,live_metrics_json,3220,3220,2026-06-29,5686,0,2017-09-04,2017-09-04,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1165,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/enagamess/dam,Dam,Enagamess,http://www.kongregate.com/games/Enagamess/dam,yes,1,0,0,1,1,9,2017-09-13,2017-09-13,0,newest (1),,2017-09-13,yes,2026-06-29,1361,live_metrics_json,3211,3211,2026-06-29,1361,0,2017-09-13,2017-09-13,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1166,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/mosso70/zebras-connect,Zebras Connect,mosso70,http://www.kongregate.com/games/mosso70/zebras-connect,yes,1,0,0,1,1,9,2017-09-20,2017-09-20,0,newest (1),,2017-09-20,yes,2026-06-29,446,live_metrics_json,3204,3204,2026-06-29,446,0,2017-09-20,2017-09-20,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1167,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/alunosi/cobras,Cobras,AlunosI,http://www.kongregate.com/games/AlunosI/cobras,yes,1,0,0,1,1,9,2017-09-30,2017-09-30,0,newest (1),,2017-09-30,yes,2026-06-29,77,live_metrics_json,3194,3194,2026-06-29,77,0,2017-09-30,2017-09-30,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1168,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/virajmalia/good-and-the-bad,Good and the Bad,virajmalia,http://www.kongregate.com/games/virajmalia/good-and-the-bad,yes,1,0,0,1,1,9,2017-10-08,2017-10-08,0,newest (1),,2017-10-08,yes,2026-06-29,64,live_metrics_json,3186,3186,2026-06-29,64,0,2017-10-08,2017-10-08,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1169,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/silverfinish/idle-streamer-2,Idle Streamer 2,SilverFinish,http://www.kongregate.com/games/SilverFinish/idle-streamer-2,yes,1,0,0,1,1,9,2017-10-15,2017-10-15,0,newest (1),,2017-10-15,yes,2026-06-29,15908,live_metrics_json,3179,3179,2026-06-29,15908,0,2017-10-15,2017-10-15,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1170,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/spsv/invasionunity,InvasionUnity,spsv,http://www.kongregate.com/games/spsv/invasionunity,yes,1,0,0,1,1,9,2017-10-24,2017-10-24,0,newest (1),,2017-10-24,yes,2026-06-29,211,live_metrics_json,3170,3170,2026-06-29,211,0,2017-10-24,2017-10-24,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1171,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/mmongeon/obversum,Obversum,mmongeon,http://www.kongregate.com/games/mmongeon/obversum,yes,1,0,0,1,1,9,2017-11-06,2017-11-06,0,newest (1),,2017-11-06,yes,2023-09-13,135,count_source_probe,2137,2137,2026-06-30,622,0,2017-11-06,2017-11-06,9,1,0,,has_metrics,2,2023-09-13,2026-06-30,,,,,,,,,,,
1172,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/zotakomen/the-evil-lair,The Evil Lair,zotakomen,http://www.kongregate.com/games/zotakomen/the-evil-lair,yes,1,0,0,1,1,9,2018-12-22,2018-12-22,0,most_played (1),,2018-12-22,yes,2021-05-05,512987,count_source_probe,865,865,2026-06-30,539689,0,2018-12-22,2018-12-22,9,1,0,,has_metrics,2,2021-05-05,2026-06-30,,,,,,,,,,,
1173,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/marxor/hacky-sack-adventure,Hacky Sack Adventure,MARXOR,https://www.kongregate.com/games/MARXOR/hacky-sack-adventure,yes,1,0,0,1,1,9,2019-08-25,2019-08-25,0,newest (1),,2019-08-25,yes,2026-06-30,318,live_metrics_json,2501,2501,2026-06-30,318,0,2019-08-25,2019-08-25,9,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1174,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/efefef20/test-game2,Creeper Goo,efefef20,http://www.kongregate.com/games/efefef20/test-game2,yes,1,0,0,1,1,9,2021-01-25,2021-01-25,0,newest (1),,2021-01-25,yes,2026-06-29,5506,live_metrics_json,1981,1981,2026-06-29,5506,0,2021-01-25,2021-01-25,9,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1175,410,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/justin_wang123/rogue-fable-iv,Rogue Fable IV,Justin_wang123,https://www.kongregate.com/games/Justin_wang123/rogue-fable-iv,yes,1,0,0,1,1,9,2024-01-17,2024-01-17,0,category_top (1),adventure-rpg (1),2024-01-17,yes,2024-01-18,37057,count_source_probe,1,1,2024-10-01,178657,0,2024-01-17,2024-01-17,9,1,0,,has_metrics,3,2024-01-18,2024-10-01,,,,,,,,,,,
1176,410,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/games2girls/back-to-school-fashion,Back to School Fashion,games2girls,http://www.kongregate.com/games/games2girls/back-to-school-fashion,yes,1,0,0,0,1,17,2014-10-03,2014-10-03,0,newest (1),,2014-10-03,no,,,,,,,,0,2014-10-03,2014-10-03,17,1,0,,no_cdx,0,,,no_game_page_cdx_alt_archives_no_count,no_page_cdx_rows,archived_endpoint_hit_no_count,216,53,24,0,live_metrics_failed_http_404,,,
1177,410,no_count_dynamic_placeholder,Broaden alternate source shapes; archived game pages defer counts to unarchived metrics.json endpoints.,www.kongregate.com/games/del7244009/kuiz-p-r-australin,Kuiz për Australinë,del7244009,http://www.kongregate.com/games/del7244009/kuiz-p-r-australin,yes,1,0,0,0,1,17,2015-09-03,2015-09-03,0,newest (1),,2015-09-03,no,,,,,,,,0,2015-09-03,2015-09-03,17,1,0,,no_cdx,0,,,dynamic_placeholder_no_exact_endpoint_archives,dynamic_metrics_placeholder,no_archived_endpoint_rows_observed,0,35,0,0,live_metrics_failed_http_404,,,
1178,410,no_count_dynamic_placeholder,Broaden alternate source shapes; archived game pages defer counts to unarchived metrics.json endpoints.,www.kongregate.com/games/naoisi_swaz/hitlervsvikings,HitlerVsVikings,Naoisi_Swaz,http://www.kongregate.com/games/Naoisi_Swaz/hitlervsvikings,yes,1,0,0,0,1,17,2016-07-07,2016-07-07,0,newest (1),,2016-07-07,no,,,,,,,,0,2016-07-07,2016-07-07,17,1,0,,no_cdx,0,,,dynamic_placeholder_no_exact_endpoint_archives,dynamic_metrics_placeholder,no_archived_endpoint_rows_observed,0,24,0,0,live_metrics_failed_http_404,,,
1179,410,no_count_dynamic_placeholder,Broaden alternate source shapes; archived game pages defer counts to unarchived metrics.json endpoints.,www.kongregate.com/games/yvolcano4/kongpanion-friend-generator,Kongpanion Friend Generator,yvolcano4,http://www.kongregate.com/games/yvolcano4/kongpanion-friend-generator,yes,1,0,0,0,1,17,2016-08-05,2016-08-05,0,newest (1),,2016-08-05,no,,,,,,,,0,2016-08-05,2016-08-05,17,1,0,,no_cdx,0,,,dynamic_placeholder_no_exact_endpoint_archives,dynamic_metrics_placeholder,no_archived_endpoint_rows_observed,0,30,0,0,live_metrics_failed_http_404,,,
1180,410,no_count_dynamic_placeholder,Broaden alternate source shapes; archived game pages defer counts to unarchived metrics.json endpoints.,www.kongregate.com/games/mafagames/flap-cat-halloween,Flap Cat Halloween,mafagames,http://www.kongregate.com/games/mafagames/flap-cat-halloween,yes,1,0,0,0,1,17,2016-10-10,2016-10-10,0,newest (1),,2016-10-10,no,,,,,,,,0,2016-10-10,2016-10-10,17,1,0,,no_cdx,0,,,dynamic_placeholder_no_exact_endpoint_archives,dynamic_metrics_placeholder,no_archived_endpoint_rows_observed,0,24,0,0,live_metrics_failed_http_404,,,
1181,410,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/quickcasualgames/kosmogon,Kosmogon,quickcasualgames,http://www.kongregate.com/games/quickcasualgames/kosmogon,yes,1,0,0,0,1,17,2017-05-16,2017-05-16,0,newest (1),,2017-05-16,no,,,,,,,,0,2017-05-16,2017-05-16,17,1,0,,no_cdx,0,,,no_game_page_or_endpoint_archives,no_page_cdx_rows,no_archived_endpoint_rows_observed,0,24,0,0,live_metrics_failed_http_404,,,
1182,410,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/echocargames/bus-subway-runner,Bus & Subway Runner,echocargames,http://www.kongregate.com/games/echocargames/bus-subway-runner,yes,1,0,0,0,1,17,2017-09-30,2017-09-30,0,newest (1),,2017-09-30,no,,,,,,,,0,2017-09-30,2017-09-30,17,1,0,,no_cdx,0,,,no_game_page_or_endpoint_archives,no_page_cdx_rows,no_archived_endpoint_rows_observed,0,24,0,0,live_metrics_failed_http_404,,,
1183,410,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/hussnainjaved534/murder,Murder,hussnainjaved534,http://www.kongregate.com/games/hussnainjaved534/murder,yes,1,0,0,0,1,17,2017-10-24,2017-10-24,0,newest (1),,2017-10-24,no,,,,,,,,0,2017-10-24,2017-10-24,17,1,0,,no_cdx,0,,,no_game_page_or_endpoint_archives,no_page_cdx_rows,no_archived_endpoint_rows_observed,0,24,0,0,live_metrics_failed_http_404,,,
1184,410,no_count_dynamic_placeholder,Broaden alternate source shapes; archived game pages defer counts to unarchived metrics.json endpoints.,www.kongregate.com/games/lubo36/life-of-a-golf-ball,Life Of A Golf Ball,lubo36,http://www.kongregate.com/games/lubo36/life-of-a-golf-ball,yes,1,0,0,0,1,17,2017-11-06,2017-11-06,0,newest (1),,2017-11-06,no,,,,,,,,0,2017-11-06,2017-11-06,17,1,0,,no_cdx,0,,,dynamic_placeholder_no_exact_endpoint_archives,dynamic_metrics_placeholder,no_archived_endpoint_rows_observed,0,24,0,0,live_metrics_failed_http_404,,,
1185,400,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/vasantj/medieval-cop-8-deathwish-part-2,Medieval Cop 8 -DeathWish- (Part 2),VasantJ,https://www.kongregate.com/games/VasantJ/medieval-cop-8-deathwish-part-2,yes,15,0,0,0,15,11,2017-07-18,2020-01-02,898,category_top (13); browse (2),puzzle (13),2017-07-18; 2017-07-19; 2019-02-01; 2019-02-01; 2019-05-06; 2019-05-26; 2019-07-17; 2019-07-18,yes,2021-06-28,101598,count_source_probe,1441,543,2024-02-22,127931,0,2017-07-18,2020-01-02,11,15,0,,has_metrics,9,2021-06-28,2024-02-22,,,,,,,,,,,
1186,395,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/ageofgames/puzzlelinerpg,PuzzleLineRpg,Ageofgames,http://www.kongregate.com/games/Ageofgames/puzzlelinerpg,yes,2,0,0,1,2,10,2014-09-19,2014-09-19,0,newest (2),,2014-09-19; 2014-09-19,yes,2026-06-30,1355,live_metrics_json,4302,4302,2026-06-30,1355,0,2014-09-19,2014-09-19,10,2,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1187,395,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/exception_e/woodclicker,Woodclicker,Exception_e,http://www.kongregate.com/games/Exception_e/woodclicker,yes,2,0,0,1,2,10,2015-05-06,2015-05-12,6,most_played (2),,2015-05-06; 2015-05-12,yes,2018-02-22,1140904,count_source_probe,1023,1017,2026-07-04,1500000,0,2015-05-06,2015-05-12,10,2,0,,has_metrics,9,2018-02-22,2025-02-10,,,,,,,,,,,
1188,395,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/groupsky/rcm,RCM,groupsky,http://www.kongregate.com/games/groupsky/rcm,yes,2,0,0,1,2,10,2015-10-04,2015-10-13,9,most_played (2),,2015-10-04; 2015-10-13,yes,2022-10-26,802197,count_source_probe,2579,2570,2023-01-20,803421,0,2015-10-04,2015-10-13,10,2,0,,has_metrics,2,2022-10-26,2023-01-20,,,,,,,,,,,
1189,385,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/skutteoleg/drunken-wrestlers,Drunken Wrestlers,SkutteOleg,http://www.kongregate.com/games/SkutteOleg/drunken-wrestlers,yes,1,0,0,1,1,10,2014-08-22,2014-08-22,0,category_top (1),action (1),2014-08-22,yes,2014-08-26,456499,count_source_probe,4,4,2015-09-28,1164026,0,2014-08-22,2020-08-23,7,96,0,,has_metrics,2,2014-08-26,2015-09-28,,,,,,,,,,,
1190,385,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/invisibleturtle1/honey-bunny-x,Honey Bunny X,invisibleturtle1,http://www.kongregate.com/games/invisibleturtle1/honey-bunny-x,yes,1,0,0,1,1,10,2014-08-22,2014-08-22,0,newest (1),,2014-08-22,yes,2026-06-30,281,live_metrics_json,4330,4330,2026-06-30,281,0,2014-08-22,2014-08-22,10,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1191,385,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/l0gical1nsanity/klarb-procreation-rift,Klarb Procreation Rift,L0gicaL1nsanity,http://www.kongregate.com/games/L0gicaL1nsanity/klarb-procreation-rift,yes,1,0,0,1,1,10,2014-08-26,2014-08-26,0,newest (1),,2014-08-26,yes,2026-06-30,543,live_metrics_json,4326,4326,2026-06-30,543,0,2014-08-26,2014-08-26,10,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1192,385,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/captainmatti/block-witch,Block Witch,captainmatti,http://www.kongregate.com/games/captainmatti/block-witch,yes,1,0,0,1,1,10,2014-08-29,2014-08-29,0,newest (1),,2014-08-29,yes,2024-01-12,151,count_source_probe,3423,3423,2026-06-30,234,0,2014-08-29,2014-08-29,10,1,0,,has_metrics,2,2024-01-12,2026-06-30,,,,,,,,,,,
1193,385,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/toaster101/quest-for-sara,Quest for Sara,toaster101,http://www.kongregate.com/games/toaster101/quest-for-sara,yes,1,0,0,1,1,10,2014-09-02,2014-09-02,0,newest (1),,2014-09-02,yes,2026-06-30,197,live_metrics_json,4319,4319,2026-06-30,197,0,2014-09-02,2014-09-02,10,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1194,385,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/fg247/ballistica,Ballistica,fg247,http://www.kongregate.com/games/fg247/ballistica,yes,1,0,0,1,1,10,2014-09-05,2014-09-05,0,newest (1),,2014-09-05,yes,2026-06-30,1678,live_metrics_json,4316,4316,2026-06-30,1678,0,2014-09-05,2014-09-05,10,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1195,385,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/beremans/quest-for-chicken,Quest for Chicken,Beremans,http://www.kongregate.com/games/Beremans/quest-for-chicken,yes,1,0,0,1,1,10,2014-09-12,2014-09-12,0,newest (1),,2014-09-12,yes,2026-06-30,430,live_metrics_json,4309,4309,2026-06-30,430,0,2014-09-12,2014-09-12,10,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1196,385,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/aliensl/inxsys,INXSYS,Aliensl,http://www.kongregate.com/games/Aliensl/inxsys,yes,1,0,0,1,1,10,2014-09-14,2014-09-14,0,newest (1),,2014-09-14,yes,2026-06-30,4640,live_metrics_json,4307,4307,2026-06-30,4640,0,2014-09-14,2014-09-14,10,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1197,385,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/independo/run-jump-meow,"Run, Jump, Meow",independo,http://www.kongregate.com/games/independo/run-jump-meow,yes,1,0,0,1,1,10,2014-09-20,2014-09-20,0,newest (1),,2014-09-20,yes,2026-06-30,582,live_metrics_json,4301,4301,2026-06-30,582,0,2014-09-20,2014-09-20,10,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1198,385,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/jfpraetor/neophoenix,Neophoenix,jfpraetor,http://www.kongregate.com/games/jfpraetor/neophoenix,yes,1,0,0,1,1,10,2014-09-26,2014-09-26,0,newest (1),,2014-09-26,yes,2026-06-30,141,live_metrics_json,4295,4295,2026-06-30,141,0,2014-09-26,2014-09-26,10,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1199,385,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/zeiva/voice-from-the-sea,Voice from the Sea,zeiva,http://www.kongregate.com/games/zeiva/voice-from-the-sea,yes,1,0,0,1,1,10,2014-09-26,2014-09-26,0,newest (1),,2014-09-26,yes,2026-06-30,61394,live_metrics_json,4295,4295,2026-06-30,61394,0,2014-09-26,2014-09-26,10,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1200,385,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/killer_killed/duck-hunt,Duck Hunt,Killer_Killed,http://www.kongregate.com/games/Killer_Killed/duck-hunt,yes,1,0,0,1,1,10,2014-10-03,2014-10-03,0,newest (1),,2014-10-03,yes,2026-06-29,730,live_metrics_json,4287,4287,2026-06-29,730,0,2014-10-03,2014-10-03,10,1,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
1201,385,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/griman/barons-gate-2,Barons Gate 2,Griman,http://www.kongregate.com/games/Griman/barons-gate-2,yes,1,0,0,1,1,10,2014-10-04,2014-10-04,0,newest (1),,2014-10-04,yes,2026-06-30,237736,live_metrics_json,4287,4287,2026-06-30,237736,0,2014-10-04,2014-10-04,10,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
1202,385,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/charisotimoros/flappy-potato,Flappy Potato,CharisOTimoros,http://www.kongregate.com/games/CharisOTimoros/flappy-potato,yes,1,0,0,1,1,10,2014-10-13,2014-10-13,0,newest (1),,2014-10-13,yes,2026-06-30,569,live_metrics_json,4278,4278,2026-06-30,569,0,2014-10-13,2014-10-13,10,1,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
